ClusteringMethod	ComputationTime	K_LB	K	CCI	NHO	ATD	DMT
METIS_MODIFIED	3.222	2	2	1.05263	17.1228	490.809	34064.5
Starting Node	Ending Node	Cluster	Required	Is Edge	Weight	Volume	Shape
391	465	-1	0	1	0	0	-90.389379 38.607572000000005,-90.389426 38.607927000000004
420	395	-1	0	1	0	0	-90.386947 38.608899,-90.387411 38.609258
395	420	-1	0	1	0	0	-90.387411 38.609258,-90.386947 38.608899
427	395	-1	0	1	0	0	-90.387113 38.609547,-90.387411 38.609258
395	427	-1	0	1	0	0	-90.387411 38.609258,-90.387113 38.609547
499	395	-1	0	1	0	0	-90.387555 38.609117999999995,-90.387411 38.609258
395	499	-1	0	1	0	0	-90.387411 38.609258,-90.387555 38.609117999999995
452	396	-1	0	1	0	0	-90.383529 38.615417,-90.382915 38.61589
396	452	-1	0	1	0	0	-90.382915 38.61589,-90.383529 38.615417
438	397	-1	0	1	0	0	-90.388057 38.609753,-90.38806 38.609711000000004,-90.388062 38.609679,-90.38806 38.60964,-90.388056 38.609612999999996,-90.388043 38.609559000000004,-90.388026 38.609519,-90.388009 38.609486000000004,-90.387999 38.609453
397	438	-1	0	1	0	0	-90.387999 38.609453,-90.388009 38.609486000000004,-90.388026 38.609519,-90.388043 38.609559000000004,-90.388056 38.609612999999996,-90.38806 38.60964,-90.388062 38.609679,-90.38806 38.609711000000004,-90.388057 38.609753
451	397	-1	0	1	0	0	-90.387948 38.609415,-90.387999 38.609453
397	451	-1	0	1	0	0	-90.387999 38.609453,-90.387948 38.609415
451	403	-1	0	1	0	0	-90.387948 38.609415,-90.388066 38.60931
403	451	-1	0	1	0	0	-90.388066 38.60931,-90.387948 38.609415
483	407	-1	0	1	0	0	-90.381818 38.615657,-90.382002 38.615809999999996
407	483	-1	0	1	0	0	-90.382002 38.615809999999996,-90.381818 38.615657
471	409	-1	0	1	0	0	-90.387569 38.606897000000004,-90.386716 38.607732999999996,-90.386592 38.607837,-90.38649 38.607906
409	471	-1	0	1	0	0	-90.38649 38.607906,-90.386592 38.607837,-90.386716 38.607732999999996,-90.387569 38.606897000000004
461	420	-1	0	1	0	0	-90.386636 38.609023,-90.386844 38.60895,-90.386907 38.608920999999995,-90.386947 38.608899
420	461	-1	0	1	0	0	-90.386947 38.608899,-90.386907 38.608920999999995,-90.386844 38.60895,-90.386636 38.609023
458	427	-1	0	1	0	0	-90.387245 38.609728000000004,-90.387113 38.609547
427	458	-1	0	1	0	0	-90.387113 38.609547,-90.387245 38.609728000000004
486	427	-1	0	1	0	0	-90.387008 38.609639,-90.387113 38.609547
427	486	-1	0	1	0	0	-90.387113 38.609547,-90.387008 38.609639
465	436	-1	0	1	0	0	-90.389426 38.607927000000004,-90.389522 38.607904000000005,-90.389616 38.607869,-90.389841 38.607654
436	465	-1	0	1	0	0	-90.389841 38.607654,-90.389616 38.607869,-90.389522 38.607904000000005,-90.389426 38.607927000000004
479	440	-1	0	1	0	0	-90.387089 38.608766,-90.387212 38.608648
440	479	-1	0	1	0	0	-90.387212 38.608648,-90.387089 38.608766
458	451	-1	0	1	0	0	-90.387245 38.609728000000004,-90.387316 38.609826,-90.38737 38.60987,-90.387414 38.609877,-90.38745 38.609874000000005,-90.387472 38.60986,-90.387948 38.609415
451	458	-1	0	1	0	0	-90.387948 38.609415,-90.387472 38.60986,-90.38745 38.609874000000005,-90.387414 38.609877,-90.38737 38.60987,-90.387316 38.609826,-90.387245 38.609728000000004
499	479	-1	0	1	0	0	-90.387555 38.609117999999995,-90.387089 38.608766
479	499	-1	0	1	0	0	-90.387089 38.608766,-90.387555 38.609117999999995
58	57	1	1	0	126	315	-90.381671 38.606474,-90.381677 38.606505999999996,-90.381699 38.606541,-90.381724 38.606572,-90.381787 38.606624,-90.38211 38.606916,-90.382166 38.606964000000005,-90.382206 38.606989999999996,-90.382241 38.607001,-90.382291 38.607006999999996
288	357	0	1	0	18	45	-90.39629 38.609624,-90.396454 38.609885
288	475	0	1	0	18	45	-90.39629 38.609624,-90.396151 38.609404999999995
273	41	1	1	0	54	135	-90.385616 38.600480000000005,-90.385502 38.600651,-90.385327 38.600902000000005,-90.385174 38.601172,-90.385031 38.601445999999996,-90.384868 38.601786000000004,-90.38476 38.601941,-90.384653 38.602056000000005
334	367	1	1	0	18	45	-90.390476 38.607049,-90.390114 38.606784000000005
202	203	1	1	0	162	405	-90.391736 38.605086,-90.391754 38.605086,-90.3918 38.605061,-90.391894 38.604948,-90.392155 38.604684,-90.392471 38.60434,-90.39255 38.604186
267	266	0	1	0	216	540	-90.402097 38.611708,-90.401042 38.611982,-90.400766 38.612023,-90.399767 38.612294
267	262	0	1	0	180	450	-90.402097 38.611708,-90.403782 38.611276000000004
238	245	0	1	0	180	450	-90.391804 38.609081,-90.391839 38.609116,-90.391893 38.609166,-90.392507 38.609723,-90.392747 38.609981000000005,-90.392983 38.610253,-90.393137 38.610442,-90.393373 38.61079,-90.393486 38.610974
205	142	1	1	0	54	135	-90.392787 38.603677000000005,-90.393249 38.603779
151	47	1	1	0	18	45	-90.385826 38.602557000000004,-90.385818 38.602542,-90.385811 38.602526,-90.385808 38.602509999999995,-90.38581 38.602495000000005,-90.385827 38.602452,-90.385887 38.602355
151	152	1	1	0	144	360	-90.385826 38.602557000000004,-90.385844 38.602575,-90.385869 38.602592,-90.385902 38.602608000000004,-90.386421 38.602856,-90.386497 38.602882,-90.386512 38.602885,-90.386531 38.602884,-90.386553 38.60288,-90.386569 38.602869
122	123	1	1	0	54	135	-90.384561 38.610670999999996,-90.385182 38.611204
154	152	1	1	0	162	405	-90.38746 38.601421,-90.387347 38.601548,-90.387254 38.60165,-90.387175 38.601749999999996,-90.387049 38.601963,-90.386892 38.602297,-90.386768 38.602568000000005,-90.386656 38.602754000000004,-90.386605 38.602824999999996,-90.386569 38.602869
461	481	1	1	0	18	45	-90.386636 38.609023,-90.386404 38.608604,-90.386202 38.608353,-90.38605 38.608164
296	45	0	1	0	288	720	-90.398333 38.608647000000005,-90.399658 38.610709
296	291	0	1	0	54	135	-90.398333 38.608647000000005,-90.397686 38.608982
25	462	1	1	0	18	45	-90.383186 38.614250999999996,-90.382958 38.614428000000004
222	223	0	1	0	72	180	-90.392487 38.612273,-90.39241 38.612144,-90.392087 38.611638
141	140	1	1	0	18	45	-90.393458 38.602339,-90.39327 38.602502,-90.393162 38.602625
160	161	1	1	0	36	90	-90.388583 38.601703,-90.388572 38.602148
392	484	1	1	0	18	45	-90.384419 38.606831,-90.384835 38.607181,-90.385228 38.607490999999996
39	139	1	1	0	54	135	-90.393672 38.602993,-90.393741 38.603051,-90.393822 38.603161
39	140	1	1	0	54	135	-90.393672 38.602993,-90.393485 38.602835,-90.393162 38.602625
231	232	0	1	0	72	180	-90.394364 38.606128999999996,-90.393834 38.606706
231	375	0	1	0	378	944	-90.394364 38.606128999999996,-90.394506 38.606233,-90.395243 38.606854999999996,-90.395439 38.607051999999996,-90.395767 38.607437000000004,-90.39604 38.607799,-90.396835 38.609069000000005
322	434	1	1	0	18	45	-90.385298 38.607567,-90.385513 38.607780000000005,-90.38576 38.608019,-90.385892 38.6082,-90.385925 38.608244
435	236	0	1	0	234	585	-90.393984 38.61031,-90.393709 38.609869,-90.393583 38.609685,-90.39355 38.609643,-90.39343 38.609493,-90.393235 38.609282,-90.39317 38.609207999999995,-90.393017 38.609064000000004,-90.392915 38.608972,-90.392772 38.608850000000004,-90.39262 38.608731,-90.392496 38.608644,-90.392304 38.608517
